Description,Expression,university,k12,k12predrive,k12drive
Intrazonal (origin == dest),@(df['TAZ']==df['TAZ_chooser']),-0.1518,-0.5708,-0.5708,-0.5708
Distance,"@skims[('SOV_FREE_DISTANCE', 'MD')]",0.00726,0.3527,0.3527,0.3527
CBD Area Type,@df['areatype']==1,0.5678,-0.6092,-0.6092,-0.6092
Urban Area Type,"@(df['areatype'].isin([2,3,4]))",0,-1.759,-1.759,-1.759
Distance Squared,"@skims[('SOV_FREE_DISTANCE', 'MD')] ** 2",-0.00019,-0.044438,-0.044438,-0.044438
Distance Cubed,"@skims[('SOV_FREE_DISTANCE', 'MD')] ** 3",-0.00000116,0.00085359,0.00085359,0.00085359
Natural Log of Distance,"@np.log(skims[('SOV_FREE_DISTANCE', 'MD')])",-0.9622,-2.7309,-2.7309,-2.7309
Distance - low income,"@(df['is_low_income'] * skims[('SOV_FREE_DISTANCE', 'MD')])",-0.02285,-0.01406,-0.01406,-0.01406
Distance - very high income,"@(df['is_very_high_income'] * skims[('SOV_FREE_DISTANCE', 'MD')])",0,0.01152,0.01152,0.01152
Distance - drive age student,"@(df['is_drive'] * skims[('SOV_FREE_DISTANCE', 'MD')])",0,0,0,0.014760
Size variable,@(df['size_term'] * df['shadow_price_size_term_adjustment']).apply(np.log1p),1,1,0,1
No attractions,@df['size_term']==0,-999,-999,-999,0
Y17 Calib - Distance,"@skims[('SOV_FREE_DISTANCE', 'MD')]",0.07,0,0,0